compkey,unitdesc,onstreet,cluster,cluster_label,street_id,n_neighbors,n_same_cluster,same_cluster_ratio
8731,ALASKAN WAY BETWEEN WALL ST AND VINE ST,ALASKAN WAY,1.0,Consistently low occupancy streets,52,4.0,1.0,0.25
8732,ALASKAN WAY BETWEEN VINE ST AND CLAY ST,ALASKAN WAY,1.0,Consistently low occupancy streets,53,3.0,1.0,0.3333333333333333
8733,ALASKAN WAY BETWEEN CLAY ST AND BROAD ST,ALASKAN WAY,2.0,Consistently high occupancy streets,54,1.0,0.0,0.0
8746,ALASKAN ER WAY BETWEEN MARION ST AND MADISON ST,ALASKAN ER WAY,0.0,Night/weekend intensive streets,55,3.0,0.0,0.0
8747,ALASKAN ER WAY BETWEEN MADISON ST AND SPRING ST,ALASKAN ER WAY,2.0,Consistently high occupancy streets,56,4.0,3.0,0.75
8779,ALDER ST BETWEEN 9TH AVE AND TERRY AVE,ALDER ST,1.0,Consistently low occupancy streets,57,4.0,4.0,1.0
8272,8TH AVE BETWEEN JAMES ST AND CHERRY ST,8TH AVE,1.0,Consistently low occupancy streets,58,3.0,3.0,1.0
8273,8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,8TH AVE,1.0,Consistently low occupancy streets,59,6.0,5.0,0.8333333333333334
8275,8TH AVE BETWEEN MARION ST AND MADISON ST,8TH AVE,1.0,Consistently low occupancy streets,60,4.0,2.0,0.5
8276,8TH AVE BETWEEN MADISON ST AND SPRING ST,8TH AVE,1.0,Consistently low occupancy streets,61,4.0,3.0,0.75
8277,8TH AVE BETWEEN SPRING ST AND SENECA ST,8TH AVE,0.0,Night/weekend intensive streets,62,4.0,1.0,0.25
7229,5TH AVE BETWEEN MARION ST AND MADISON ST,5TH AVE,0.0,Night/weekend intensive streets,63,5.0,3.0,0.6
7230,5TH AVE BETWEEN MADISON ST AND SPRING ST,5TH AVE,0.0,Night/weekend intensive streets,64,3.0,2.0,0.6666666666666666
7243,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,5TH AVE,0.0,Night/weekend intensive streets,65,6.0,6.0,1.0
7245,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,5TH AVE,0.0,Night/weekend intensive streets,66,6.0,3.0,0.5
7246,5TH AVE BETWEEN BELL ST AND BATTERY ST,5TH AVE,2.0,Consistently high occupancy streets,67,4.0,0.0,0.0
7249,5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,5TH AVE,0.0,Night/weekend intensive streets,68,2.0,1.0,0.5
9071,BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,BATTERY ST,0.0,Night/weekend intensive streets,69,4.0,2.0,0.5
9073,BATTERY ST BETWEEN 1ST AVE AND 2ND AVE,BATTERY ST,2.0,Consistently high occupancy streets,70,5.0,3.0,0.6
9074,BATTERY ST BETWEEN 2ND AVE AND 3RD AVE,BATTERY ST,0.0,Night/weekend intensive streets,71,6.0,2.0,0.3333333333333333
9077,BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,BATTERY ST,0.0,Night/weekend intensive streets,72,1.0,0.0,0.0
8509,9TH AVE BETWEEN E FIR ST AND ALDER ST,9TH AVE,1.0,Consistently low occupancy streets,73,2.0,2.0,1.0
8513,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,9TH AVE,1.0,Consistently low occupancy streets,74,5.0,5.0,1.0
8514,9TH AVE BETWEEN COLUMBIA ST AND MARION ST,9TH AVE,1.0,Consistently low occupancy streets,75,6.0,6.0,1.0
8521,9TH AVE BETWEEN PINE ST AND OLIVE WAY,9TH AVE,0.0,Night/weekend intensive streets,76,1.0,0.0,0.0
9202,BELL ST BETWEEN 5TH AVE AND 6TH AVE,BELL ST,0.0,Night/weekend intensive streets,77,3.0,1.0,0.3333333333333333
10969,HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE,HUBBELL PL,1.0,Consistently low occupancy streets,78,1.0,1.0,1.0
11062,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,JEFFERSON ST,1.0,Consistently low occupancy streets,79,1.0,0.0,0.0
11065,JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE,JEFFERSON ST,1.0,Consistently low occupancy streets,80,3.0,2.0,0.6666666666666666
11066,JEFFERSON ST BETWEEN TERRY AVE AND BOREN AVE,JEFFERSON ST,1.0,Consistently low occupancy streets,81,2.0,2.0,1.0
11367,LENORA ST BETWEEN 1ST AVE AND 2ND AVE,LENORA ST,2.0,Consistently high occupancy streets,82,6.0,3.0,0.5
11368,LENORA ST BETWEEN 2ND AVE AND 3RD AVE,LENORA ST,0.0,Night/weekend intensive streets,83,5.0,3.0,0.6
11370,LENORA ST BETWEEN 4TH AVE AND 5TH AVE,LENORA ST,0.0,Night/weekend intensive streets,84,6.0,5.0,0.8333333333333334
11371,LENORA ST BETWEEN 5TH AVE AND 6TH AVE,LENORA ST,0.0,Night/weekend intensive streets,85,3.0,3.0,1.0
9290,BLANCHARD ST BETWEEN WESTERN AVE AND 1ST AVE,BLANCHARD ST,2.0,Consistently high occupancy streets,86,5.0,2.0,0.4
9291,BLANCHARD ST BETWEEN 1ST AVE AND 2ND AVE,BLANCHARD ST,0.0,Night/weekend intensive streets,87,5.0,3.0,0.6
9293,BLANCHARD ST BETWEEN 3RD AVE AND 4TH AVE,BLANCHARD ST,0.0,Night/weekend intensive streets,88,3.0,1.0,0.3333333333333333
9294,BLANCHARD ST BETWEEN 4TH AVE AND 5TH AVE,BLANCHARD ST,2.0,Consistently high occupancy streets,89,5.0,0.0,0.0
9295,BLANCHARD ST BETWEEN 5TH AVE AND 6TH AVE,BLANCHARD ST,0.0,Night/weekend intensive streets,90,3.0,2.0,0.6666666666666666
9369,BOYLSTON AVE BETWEEN MARION ST AND MADISON ST,BOYLSTON AVE,1.0,Consistently low occupancy streets,91,1.0,1.0,1.0
9370,BOYLSTON AVE BETWEEN MADISON ST AND SPRING ST,BOYLSTON AVE,1.0,Consistently low occupancy streets,92,4.0,4.0,1.0
9371,BOYLSTON AVE BETWEEN SPRING ST AND SENECA ST,BOYLSTON AVE,1.0,Consistently low occupancy streets,93,6.0,5.0,0.8333333333333334
9372,BOYLSTON AVE BETWEEN SENECA ST AND UNIVERSITY W ST,BOYLSTON AVE,1.0,Consistently low occupancy streets,94,4.0,3.0,0.75
11579,MADISON ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,MADISON ST,2.0,Consistently high occupancy streets,95,4.0,3.0,0.75
11583,MADISON ST BETWEEN 2ND AVE AND 3RD AVE,MADISON ST,0.0,Night/weekend intensive streets,96,3.0,1.0,0.3333333333333333
11584,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,MADISON ST,2.0,Consistently high occupancy streets,97,3.0,1.0,0.3333333333333333
11585,MADISON ST BETWEEN 4TH AVE AND 5TH AVE,MADISON ST,2.0,Consistently high occupancy streets,98,5.0,1.0,0.2
9414,BROAD ST BETWEEN 2ND AVE AND 3RD AVE,BROAD ST,2.0,Consistently high occupancy streets,99,3.0,0.0,0.0
9429,BROADWAY BETWEEN YESLER WAY AND E FIR ST,BROADWAY,1.0,Consistently low occupancy streets,100,1.0,1.0,1.0
9442,BROADWAY BETWEEN BOYLSTON AVE AND MARION ST,BROADWAY,0.0,Night/weekend intensive streets,101,1.0,1.0,1.0
9443,BROADWAY BETWEEN MARION ST AND MADISON ST,BROADWAY,0.0,Night/weekend intensive streets,102,1.0,1.0,1.0
9445,BROADWAY BETWEEN HARVARD AVE AND E UNION ST,BROADWAY,2.0,Consistently high occupancy streets,103,1.0,0.0,0.0
11660,MARION ST BETWEEN ALASKAN ER WAY AND WESTERN AVE,MARION ST,2.0,Consistently high occupancy streets,104,3.0,2.0,0.6666666666666666
11662,MARION ST BETWEEN POST AVE AND 1ST AVE,MARION ST,0.0,Night/weekend intensive streets,105,1.0,1.0,1.0
11664,MARION ST BETWEEN 2ND AVE AND 3RD AVE,MARION ST,0.0,Night/weekend intensive streets,106,3.0,1.0,0.3333333333333333
