compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
2762,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,2ND AVE,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2763,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,2ND AVE,2ND AVE BETWEEN BLANCHARD ST AND BELL ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2764,2ND AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE,2ND AVE BETWEEN BELL ST AND BATTERY ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
2765,2ND AVE BETWEEN BATTERY ST AND WALL ST,2ND AVE,2ND AVE BETWEEN BATTERY ST AND WALL ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2766,2ND AVE BETWEEN WALL ST AND VINE ST,2ND AVE,2ND AVE BETWEEN WALL ST AND VINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2767,2ND AVE BETWEEN VINE ST AND CEDAR ST,2ND AVE,2ND AVE BETWEEN VINE ST AND CEDAR ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2768,2ND AVE BETWEEN CEDAR ST AND CLAY ST,2ND AVE,2ND AVE BETWEEN CEDAR ST AND CLAY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2769,2ND AVE BETWEEN CLAY ST AND BROAD ST,2ND AVE,2ND AVE BETWEEN CLAY ST AND BROAD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2770,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,2ND AVE,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
2869,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,2ND AVE S,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2870,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,2ND AVE S,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
