overall_mean_occupancy,all_rate_mean_ps,parking_spaces,paystation_count,street_width,speed_limit,building_coverage_ratio,commercial_mixed_share,residential_share,transport_parking_share,one_way_Y,artdescript_Interstate/Freeway,artdescript_Minor Arterial,artdescript_Not Designated,artdescript_Principal Arterial,artdescript_State Route/Freeway
0.18687652214037614,4.5,6.5,2.0,36.0,20.0,0.3382937492965046,0.3833920888558701,0.17553363161789476,0.0,False,False,False,True,False,False
0.08314644869583412,4.5,7.25,2.0,36.0,20.0,0.31098958091508494,0.08569906546457016,0.854417950693341,0.0,False,False,False,True,False,False
0.3617122411740053,1.0,5.0,1.0,48.0,25.0,0.27074372312966855,0.5143064981086385,0.42853210088345484,0.0,False,False,False,False,True,False
0.4858929351136593,1.0,6.0,1.0,49.0,25.0,0.17471704184693593,0.5837043178430716,0.0,0.41629568215692836,False,False,False,False,True,False
0.11674404086141704,4.5,6.5,2.0,52.0,25.0,0.280461094642793,0.0,0.0,0.0,False,False,True,False,False,False
0.3822766889043785,4.5,3.0,1.0,52.0,25.0,0.24826704338167283,0.34122179212103265,0.0,0.0,False,False,True,False,False,False
0.31475868055555556,4.5,3.0,1.0,52.0,25.0,0.17588811208071234,0.4425563999771987,0.0,0.0,False,False,True,False,False,False
0.5559960758042034,4.5,7.0,2.0,52.0,25.0,0.31619431733574954,0.7936421452822507,0.0,0.0,False,False,True,False,False,False
0.4437374783915841,1.0,6.5,2.0,36.0,20.0,0.4727528588382317,0.6163328273119857,0.20795953018431595,0.0,False,False,False,True,False,False
0.32177727689099256,1.0,7.5,2.0,36.0,20.0,0.3939777361315404,0.558960010595211,0.37126942356983916,0.0,False,False,False,True,False,False
0.352954691976736,1.0,6.0,2.0,42.0,20.0,0.27750613566918775,0.5460576116497841,0.25042831406607874,0.0,False,False,False,True,False,False
0.4830472405803605,1.0,6.0,2.0,39.0,20.0,0.21926055852571727,0.9511268662760328,0.0488731337239671,0.0,False,False,False,True,False,False
