compkey,unitdesc,onstreet,blockface_name,period,weekpart,occupancy_rate,occupied_spaces,parking_spaces,n_hours,n_obs,paid_rate,time_limit,parking_category,paid_subarea,occupancy_class
1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1ST AVE S,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,day,weekday,0.39295601851851847,3.3515833333333336,8.5,200,24000,,120,Paid Parking,Core,Under-saturated
1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1ST AVE S,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,day,weekend,0.4211875,3.602166666666667,8.5,50,6000,,120,Paid Parking,Core,Under-saturated
1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,1ST AVE S,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,day,weekday,0.4748095238095238,4.369458333333333,9.0,200,24000,,120,Paid Parking,Core,Under-saturated
1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,1ST AVE S,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,day,weekend,0.5157164502164502,4.7735,9.0,50,6000,,120,Paid Parking,Core,Under-saturated
1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,1ST AVE S,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,day,weekday,0.6775391414141414,5.886166666666667,8.5,200,24000,,120,Paid Parking,Edge,Under-saturated
1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,1ST AVE S,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,day,weekend,0.5428257575757576,4.708666666666667,8.5,50,6000,,120,Paid Parking,Edge,Under-saturated
1189,1ST AVE S BETWEEN S KING ST AND S DEARBORN ST,1ST AVE S,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,day,weekday,0.5723504901960784,11.09125,19.5,200,24000,,120,Paid Parking,Edge,Under-saturated
1189,1ST AVE S BETWEEN S KING ST AND S DEARBORN ST,1ST AVE S,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,day,weekend,0.436427807486631,8.408,19.5,50,6000,,120,Paid Parking,Edge,Under-saturated
1190,1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,1ST AVE S,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,day,weekday,0.22553846153846152,1.7767521367521368,8.0,200,23400,,120,Paid Parking,Edge,Under-saturated
1190,1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,1ST AVE S,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,day,weekend,0.19400416666666667,1.4906666666666666,6.5,50,6000,,30,Paid Parking,Edge,Under-saturated
1200,1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY,1ST AVE S,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,day,weekday,0.2530289351851852,5.6297500000000005,25.0,200,24000,,120,Paid Parking,Edge,Under-saturated
1200,1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY,1ST AVE S,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,day,weekend,0.31896006944444444,7.558,25.0,50,6000,,120,Paid Parking,Edge,Under-saturated
2748,2ND AVE BETWEEN YESLER WAY AND JAMES ST,2ND AVE,2ND AVE BETWEEN YESLER WAY AND JAMES ST,day,weekday,0.4453168044077135,1.3731404958677687,3.0,121,7201,,120,Paid Parking,Core,Under-saturated
2748,2ND AVE BETWEEN YESLER WAY AND JAMES ST,2ND AVE,2ND AVE BETWEEN YESLER WAY AND JAMES ST,day,weekend,0.4885555555555555,1.496,3.0,50,3000,,120,Paid Parking,Core,Under-saturated
2749,2ND AVE BETWEEN JAMES ST AND CHERRY ST,2ND AVE,2ND AVE BETWEEN JAMES ST AND CHERRY ST,day,weekday,0.176984126984127,0.36349206349206353,2.0,84,5040,,120,Paid Parking,Core,Under-saturated
2749,2ND AVE BETWEEN JAMES ST AND CHERRY ST,2ND AVE,2ND AVE BETWEEN JAMES ST AND CHERRY ST,day,weekend,0.19625,0.41375,2.0,40,2400,,120,Paid Parking,Core,Under-saturated
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,day,weekday,0.4869984528107271,2.939771359807461,7.0,153,15617,,120,Paid Parking,Financial,Under-saturated
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,day,weekend,0.13124761904761906,0.6846666666666666,6.0,50,6000,,120,Paid Parking,Financial,Under-saturated
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,night,weekday,0.07354761904761906,0.39666666666666667,6.0,20,2397,,120,Paid Parking,Financial,Under-saturated
2751,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,2ND AVE,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,night,weekend,0.09926190476190476,0.5208333333333333,6.0,10,1200,,120,Paid Parking,Financial,Under-saturated
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,day,weekday,0.497289972899729,1.5555555555555556,3.0,123,7203,,120,Paid Parking,Financial,Under-saturated
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,day,weekend,0.05694444444444444,0.17083333333333334,3.0,40,2400,,120,Paid Parking,Financial,Under-saturated
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,night,weekday,0.042777777777777776,0.12833333333333333,3.0,20,1200,,120,Paid Parking,Financial,Under-saturated
2752,2ND AVE BETWEEN MARION ST AND MADISON ST,2ND AVE,2ND AVE BETWEEN MARION ST AND MADISON ST,night,weekend,0.17152777777777778,0.5145833333333333,3.0,8,480,,120,Paid Parking,Financial,Under-saturated
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,day,weekday,0.5986206896551723,3.6258620689655174,6.0,145,8405,,120,Paid Parking,Financial,Under-saturated
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,day,weekend,0.2633888888888889,1.5803333333333334,6.0,50,3000,,120,Paid Parking,Financial,Under-saturated
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,night,weekday,0.06805555555555556,0.4166666666666667,6.0,20,1141,,120,Paid Parking,Financial,Under-saturated
2753,2ND AVE BETWEEN MADISON ST AND SPRING ST,2ND AVE,2ND AVE BETWEEN MADISON ST AND SPRING ST,night,weekend,0.30777777777777776,1.846666666666667,6.0,10,600,,120,Paid Parking,Financial,Under-saturated
