compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
10774,HARVARD AVE BETWEEN BROADWAY AND SPRING ST,HARVARD AVE,HARVARD AVE BETWEEN BROADWAY AND SPRING ST,0.12637896986022187,0.389557757885763,0.18008333333333332,0.36625,0,Night/weekend intensive streets
10838,HARVARD AVE BETWEEN SPRING ST AND SENECA ST,HARVARD AVE,HARVARD AVE BETWEEN SPRING ST AND SENECA ST,0.2901906395806989,0.6619253345992485,0.2672777777777778,0.653015873015873,0,Night/weekend intensive streets
10969,HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE,HUBBELL PL,HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE,0.07432889742872675,0.07053224801626337,0.07405128205128206,0.1864102564102564,1,Consistently low occupancy streets
10970,HUBBELL PL BETWEEN 9TH AVE AND PIKE ST,HUBBELL PL,HUBBELL PL BETWEEN 9TH AVE AND PIKE ST,0.1055257909443971,0.10435227272727272,0.0877,0.15383333333333332,1,Consistently low occupancy streets
11062,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,JEFFERSON ST,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,0.3070442708333333,0.13613782051282053,0.15095833333333333,0.24104166666666665,1,Consistently low occupancy streets
11065,JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE,JEFFERSON ST,JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE,0.1628902777777778,0.13472461685823756,0.113,0.07416666666666667,1,Consistently low occupancy streets
11066,JEFFERSON ST BETWEEN TERRY AVE AND BOREN AVE,JEFFERSON ST,JEFFERSON ST BETWEEN TERRY AVE AND BOREN AVE,0.0857421622261138,0.053914141414141414,0.07467592592592592,0.09699074074074074,1,Consistently low occupancy streets
11366,LENORA ST BETWEEN WESTERN AVE AND 1ST AVE,LENORA ST,LENORA ST BETWEEN WESTERN AVE AND 1ST AVE,0.4061410223587643,0.5821669958305903,0.6464761904761904,0.6861904761904761,2,Consistently high occupancy streets
11367,LENORA ST BETWEEN 1ST AVE AND 2ND AVE,LENORA ST,LENORA ST BETWEEN 1ST AVE AND 2ND AVE,0.48449262886158045,0.7816630747126437,0.6320833333333333,0.7904166666666667,2,Consistently high occupancy streets
11368,LENORA ST BETWEEN 2ND AVE AND 3RD AVE,LENORA ST,LENORA ST BETWEEN 2ND AVE AND 3RD AVE,0.26699797623411536,0.365787037037037,0.3078333333333333,0.2966666666666667,0,Night/weekend intensive streets
11369,LENORA ST BETWEEN 3RD AVE AND 4TH AVE,LENORA ST,LENORA ST BETWEEN 3RD AVE AND 4TH AVE,0.22312427662037038,0.13479166666666667,0.5145833333333334,0.6841666666666667,0,Night/weekend intensive streets
